电影名,评分,链接
人工智能,8.6,https://movie.douban.com/subject/1302827/
黑客帝国3：矩阵革命,8.6,https://movie.douban.com/subject/1302467/
终结者2：审判日,8.6,https://movie.douban.com/subject/1291844/
谍影重重2,8.6,https://movie.douban.com/subject/1308767/
荒野生存,8.6,https://movie.douban.com/subject/1905462/
完美陌生人,8.5,https://movie.douban.com/subject/26614893/
唐伯虎点秋香,8.5,https://movie.douban.com/subject/1306249/
神偷奶爸,8.5,https://movie.douban.com/subject/3287562/
黑天鹅,8.5,https://movie.douban.com/subject/1978709/
小萝莉的猴神大叔,8.5,https://movie.douban.com/subject/26393561/
傲慢与偏见,8.5,https://movie.douban.com/subject/1418200/
真爱至上,8.5,https://movie.douban.com/subject/1292401/
阿飞正传,8.5,https://movie.douban.com/subject/1305690/
贫民窟的百万富翁,8.5,https://movie.douban.com/subject/2209573/
再次出发之纽约遇见你,8.5,https://movie.douban.com/subject/6874403/
冰川时代,8.5,https://movie.douban.com/subject/1291578/
魔女宅急便,8.5,https://movie.douban.com/subject/1307811/
恋恋笔记本,8.5,https://movie.douban.com/subject/1309163/
新龙门客栈,8.5,https://movie.douban.com/subject/1292287/
E.T. 外星人,8.5,https://movie.douban.com/subject/1294638/
荒岛余生,8.5,https://movie.douban.com/subject/1298653/
你的名字。,8.4,https://movie.douban.com/subject/26683290/
火星救援,8.4,https://movie.douban.com/subject/25864085/
王牌特工：特工学院,8.4,https://movie.douban.com/subject/24405378/
亲爱的,8.4,https://movie.douban.com/subject/25798222/
恐怖游轮,8.4,https://movie.douban.com/subject/3011051/
狗十三,8.3,https://movie.douban.com/subject/25716096/
釜山行,8.3,https://movie.douban.com/subject/25986180/
爱乐之城,8.3,https://movie.douban.com/subject/25934014/
初恋这件小事,8.3,https://movie.douban.com/subject/4739952/
驴得水,8.3,https://movie.douban.com/subject/25921812/
